CPF,AveragePerformance,Área,Potencial Bruto,Raciocínio,Social,Motivacional,Cultura pontuação,atributo-Capacidade analítica,atributo-Pensamento conceitual,atributo-Reflexão,atributo-Pensamento criativo,atributo-Planejamento e organização,atributo-Comunicação,atributo-Consideração pelos outros,atributo-Influência,atributo-Sociabilidade,atributo-Facilitação,atributo-Flexibilidade,atributo-Estabilidade emocional,atributo-Ambição,atributo-Iniciativa,atributo-Assertividade,atributo-Tomada de riscos,perfil-Capacidade analítica,perfil-Pensamento conceitual,perfil-Reflexão,perfil-Pensamento criativo,perfil-Planejamento e organização,perfil-Comunicação,perfil-Consideração pelos outros,perfil-Influência,perfil-Sociabilidade,perfil-Facilitação,perfil-Flexibilidade,perfil-Estabilidade emocional,perfil-Ambição,perfil-Iniciativa,perfil-Assertividade,perfil-Tomada de riscos
678.042.935-18,2.5,Operações,53.65,65.7,37.65,56.75,32.33,59.67,49.44,63.08,56.26,52.85,58.89,45.26,17.29,18.99,31.62,41.85,77.99,64.36,50.72,23.45,60.95,41.95,28.32,46.5,37.41,32.86,78.32,60.14,19.23,23.77,41.95,55.59,78.32,60.14,41.95,8.74,55.59
089.324.175-12,2.0,Logística,,60.78,,,35.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587.416.093-11,2.0,Financeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375.410.982-13,2.75,Operações,22.46,15.71,5.67,56.75,23.36,11.43,18.25,13.14,16.54,36.95,26.91,8.11,23.5,40.55,6.41,11.52,54.13,43.9,57.54,43.9,50.72,32.86,51.05,37.41,46.5,78.32,78.32,37.41,73.77,91.86,32.86,46.5,46.5,32.86,51.05,32.86,41.95
652.134.809-42,1.75,Pessoas,,56.15,,,62.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560.478.392-74,2.0,Operações,,57.99,,,79.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304.915.286-98,3.0,Pessoas,,60.24,,,40.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584.619.230-14,2.5,Financeiro,63.25,63.43,63.99,61.95,17.05,77.85,60.8,36.94,80.63,57.39,64.78,68.18,37.5,61.37,71.59,54.55,81.59,59.32,86.71,35.46,59.32,69.23,46.5,14.68,73.77,41.95,51.05,55.59,14.68,46.5,60.14,37.41,78.32,46.5,90.56,14.68,46.5
432.950.186-42,2.5,Pessoas,20.09,11.35,11.32,46.36,49.99,22.36,12.66,22.36,29.18,22.36,10.94,5.82,4.12,9.23,14.35,10.94,71.01,60.78,43.74,26.69,40.33,64.68,41.95,64.68,73.77,64.68,37.41,23.77,19.23,32.86,46.5,37.41,82.86,69.23,46.5,23.77,41.95
675.489.102-58,1.75,Logística,42.06,35.63,27.78,72.34,49.03,29.59,36.41,36.41,17.98,46.64,45.61,35.38,25.15,28.56,25.15,35.38,79.94,62.89,76.53,62.89,76.53,41.95,51.05,51.05,23.77,64.68,73.77,60.14,46.5,51.05,46.5,60.14,60.14,37.41,55.59,37.41,55.59
