CPF,Performance 1º/2019,Performance 2º/2018,Performance 1º/2018,Performance 2º 2017
678.042.935-18,3,2,2,3
089.324.175-12,2,2,2,2
587.416.093-11,2,2,2,2
375.410.982-13,3,2,3,3
652.134.809-42,1,2,1,3
560.478.392-74,2,2,1,3
304.915.286-98,,,,3
584.619.230-14,2,2,3,3
432.950.186-42,3,2,3,2
675.489.102-58,2,2,1,2
129.540.376-52,,,3,1
047.821.956-31,1,2,3,1
435.082.961-13,1,2,2,2
410.695.387-11,3,2,2,1
209.731.654-99,1,2,2,1
876.315.024-71,3,2,2,3
759.460.831-39,,,2,3
238.490.617-87,3,2,1,1
132.605.489-98,2,2,3,3
840.712.963-13,2,2,3,1
923.640.157-15,1,1,1,1
970.463.128-69,3,2,2,3
109.754.683-75,1,2,3,2
356.172.498-19,3,2,1,1
297.605.318-95,2,2,2,1
583.106.279-12,1,2,1,3
360.895.721-95,3,1,1,1
602.751.439-61,3,2,3,1
036.194.728-31,2,2,1,3
340.172.895-41,,,,1
508.194.736-93,1,2,1,1
068.921.357-31,1,2,1,3
973.450.281-61,2,2,1,2
589.640.172-85,3,2,3,1
948.156.073-21,1,2,2,3
192.564.087-67,2,2,3,2
346.259.870-83,2,2,1,2
651.394.208-13,2,2,2,2
029.567.431-81,2,2,3,1
682.970.534-74,2,2,3,2
137.249.860-51,2,2,1,1
527.631.049-16,2,2,3,3
267.531.904-14,2,2,3,2
637.294.015-99,2,2,3,3
470.218.539-12,2,2,1,1
720.681.539-12,2,2,2,1
815.462.739-64,2,1,1,1
564.203.719-61,2,2,2,2
386.495.170-48,2,2,3,3
532.897.461-19,2,2,1,3
793.415.682-18,2,2,2,1
325.694.178-82,2,2,2,3
193.078.245-41,,,,3
781.256.093-77,2,2,2,3
529.078.634-11,2,2,1,2
730.852.946-19,2,2,1,2
984.730.561-75,2,2,2,2
354.978.061-39,2,2,1,1
370.894.126-87,,2,2,2
925.346.017-25,2,2,3,2
132.975.064-15,2,2,3,1
253.480.791-97,2,2,2,2
546.890.721-67,1,2,1,1
820.346.195-61,2,2,1,2
169.430.587-21,,2,2,3
102.493.785-23,2,2,3,3
836.240.175-35,2,2,2,3
128.640.953-51,2,2,3,1
526.314.087-81,2,2,3,3
568.713.024-17,2,2,2,2
752.980.641-67,,,,3
965.387.102-12,2,2,1,1
902.153.678-12,,2,3,3
036.941.258-33,2,2,2,3
168.297.035-31,2,2,2,1
526.047.381-71,2,2,1,2
725.690.481-94,2,1,1,1
286.931.470-13,2,2,3,3
610.548.237-15,2,2,3,2
796.354.012-99,,2,2,3
853.920.476-29,2,2,2,2
640.981.357-11,2,2,1,1
475.802.139-23,2,2,3,3
321.409.567-61,1,2,1,1
317.026.594-61,2,2,3,2
832.967.410-11,2,2,3,2
410.896.325-33,2,2,3,3
194.672.530-71,,2,2,2
568.930.241-42,2,2,3,2
107.245.389-41,2,2,1,1
670.534.812-71,2,2,2,1
319.582.604-61,2,2,1,2
319.246.857-28,,,,3
432.981.560-51,,2,1,3
832.145.706-17,2,2,3,2
856.739.204-74,2,2,2,1
914.763.520-71,2,2,1,3
854.769.321-19,2,2,2,2
915.403.872-32,2,2,1,1
756.139.048-39,2,2,3,3
958.731.624-17,2,2,3,3
